detector,shift,t,n_atk,n_ben,FNR,FNR_lo,FNR_hi,S,S_lo,S_hi,n_misses,benign_FPR,AUROC
protectai_v2,direct,0.028,263,399,0.548,0.483,0.605,0.999,0.998,0.999,144,0.01,0.882
protectai_v2,indirect_harmful,0.028,60,778,0.65,0.533,0.767,0.995,0.993,0.997,39,0.397,0.444
protectai_v2,indirect_hijack,0.028,150,778,0.693,0.62,0.767,0.993,0.992,0.995,104,0.397,0.424
protectai_v2,jailbreak,0.028,396,398,0.136,0.104,0.169,0.995,0.993,0.997,54,0.013,0.986
protectai_v2,over_defense,0.028,0,339,,,,,,,0,0.46,
prompt_guard_2,direct,0.004,263,399,0.532,0.468,0.593,0.999,0.999,0.999,140,0.01,0.942
prompt_guard_2,indirect_harmful,0.004,60,778,0.217,0.117,0.333,0.998,0.997,0.998,13,0.145,0.894
prompt_guard_2,indirect_hijack,0.004,150,778,0.693,0.62,0.767,0.998,0.998,0.998,104,0.145,0.625
prompt_guard_2,jailbreak,0.004,396,398,0.01,0.003,0.02,,0.998,0.999,4,0.166,0.993
prompt_guard_2,over_defense,0.004,0,339,,,,,,,0,0.192,
prompt_guard_2_22m,direct,0.021,263,399,0.837,0.791,0.878,0.996,0.995,0.996,220,0.01,0.777
prompt_guard_2_22m,indirect_harmful,0.021,60,778,0.9,0.817,0.967,0.996,0.995,0.996,54,0.027,0.694
prompt_guard_2_22m,indirect_hijack,0.021,150,778,0.967,0.933,0.993,0.996,0.996,0.997,145,0.027,0.585
prompt_guard_2_22m,jailbreak,0.021,396,398,0.083,0.058,0.114,0.99,0.988,0.992,33,0.196,0.955
prompt_guard_2_22m,over_defense,0.021,0,339,,,,,,,0,0.13,
